Cluster_Number,Node_Index,Node_Latitude,Node_Longitude,Distance
167,4372,41.071374,-72.479097,0.0
168,9022,40.9767,-72.5179,0.0
169,6910,41.0879,-72.4437,0.0
170,4169,40.97277,-72.832615,0.0
171,4186,40.97786,-72.777455,0.0
172,9042,40.9794,-72.4454,0.0
173,4183,40.977078,-72.084897,0.0
174,7522,41.00872,-72.12139,0.0
175,4167,40.972052,-72.521193,0.0
176,226,41.258539,-72.471881,0.0
177,4268,41.016909,-72.558251,0.0
178,4112,40.952955,-72.470508,0.0
179,4225,40.993299,-72.449869,0.0
180,9987,40.64474,-73.53199,0.0
181,7092,41.0139,-72.9499,0.0
182,1153,41.503794,-70.324814,0.0
183,11790,43.68602,-70.20145,0.0
184,4155,40.970277,-72.814824,0.0
185,4352,41.056092,-72.50914,0.0
186,8974,40.8679,-72.4564,0.0
187,11490,37.6741,-76.9062,0.0
188,3668,40.600459,-73.417739,0.0
189,9086,40.94774,-73.40042,0.0
190,4178,40.976028,-72.759717,0.0
191,3646,40.586466,-73.487255,0.0
192,6955,41.0334,-72.2955,0.0
193,4141,40.966192,-72.452505,0.0
194,6488,41.0911,-73.3825,0.1189299029891132
195,4256,41.009117,-72.440553,0.0
196,3928,40.839575,-72.478013,0.0
197,10109,40.81287,-72.58966,0.0
198,254,41.157074,-73.212356,0.0
199,10077,40.8792,-72.49972,0.0
200,4148,40.967824,-73.149909,0.0
201,4162,40.971322,-73.069402,0.0
202,9027,40.9931,-72.4432,0.0
203,8675,40.613,-73.9042,0.0
204,4135,40.96555,-72.117712,0.0
205,4190,40.97892,-72.708937,0.0
206,9012,40.9488,-72.4352,0.0
207,4113,40.953572,-72.456437,0.0
208,9746,40.96913,-72.75896,0.0
209,6572,41.25699,-72.55845,0.0
210,5256,37.892606,-76.224432,0.0
211,9014,40.9024,-72.4755,0.0
212,1343,41.565415,-70.214013,0.0
213,9034,40.9418,-72.479,0.0
214,4400,41.087262,-72.292579,0.0
215,4182,40.976777,-73.016571,0.0
216,10448,38.97521,-75.286,0.0
217,4347,41.05273,-72.154601,0.0
218,10098,40.70493,-73.20725,0.0042484828174237
219,4175,40.975125,-73.65398,0.0
220,1060,41.473601,-70.56031,0.0
221,9021,40.9727,-72.5312,0.0
222,9719,40.97339,-73.11198,0.0
223,4180,40.976456,-73.633789,0.0
224,8962,40.83373,-72.49924,0.0
225,9035,40.9458,-72.4622,0.0
226,130,41.618214,-70.292129,0.0
227,4001,40.902088,-72.504257,0.0
228,8983,40.85093,-72.46526,0.0
229,8977,40.897114,-72.503189,0.0
230,9208,40.9954,-73.5075,0.0
231,10115,40.8576,-72.459,0.0
232,4351,41.054907,-72.480216,0.0
233,9001,40.8577,-72.4998,0.0
